scheduled_departure,departure_status,departure_delay_time,wind_direction,wind_speed,wind_gust,visibility,current_wx1,current_wx2,current_wx3,low_cloud_type,low_cloud_level,medium_cloud_type,medium_cloud_level,high_cloud_type,high_cloud_level,highest_cloud_type,highest_cloud_level,air_temperature,dew_point_temperature,altimeter,ts
2023-09-21 21:00:00,in_time,0.0,180.0,4.0,,6000.0,,,,NSC,,,,,,,,24.0,19.0,30.0,0
2023-09-23 10:00:00,in_time,0.0,60.0,3.0,,10000.0,,,,,,,,,,,,20.0,17.0,30.03,0
2023-09-22 21:00:00,in_time,0.0,290.0,5.0,,9999.0,-TSRA,,,FEW,5000.0,BKN,8000.0,,,,,25.0,19.0,30.0,1
2023-09-23 21:00:00,in_time,0.0,220.0,2.0,,10000.0,,,,,,,,,,,,28.0,15.0,29.97,0
2023-09-24 21:00:00,delayed,17.0,160.0,4.0,,10000.0,,,,,,,,,,,,32.0,15.0,29.91,0
2023-09-25 21:00:00,in_time,0.0,130.0,5.0,,7000.0,,,,OVC,1300.0,,,,,,,22.0,19.0,29.94,0
2023-09-27 10:00:00,in_time,0.0,320.0,8.0,20.0,7000.0,,,,NSC,,,,,,,,28.0,18.0,29.83,0
2023-09-26 21:00:00,in_time,0.0,250.0,5.0,,10000.0,,,,,,,,,,,,32.0,17.0,29.77,0
2023-09-27 21:00:00,delayed,17.0,130.0,4.0,,9999.0,,,,SCT,1000.0,BKN,5000.0,BKN,9000.0,,,23.0,21.0,29.83,0
2023-09-28 21:00:00,in_time,0.0,120.0,7.0,,9000.0,,,,BKN,1700.0,OVC,3000.0,,,,,16.0,12.0,30.12,0
2023-09-30 10:00:00,in_time,0.0,60.0,9.0,,8000.0,,,,OVC,800.0,,,,,,,17.0,15.0,30.09,0
2023-09-29 21:00:00,in_time,0.0,130.0,6.0,,9999.0,,,,SCT,1500.0,OVC,2000.0,,,,,19.0,16.0,30.12,0
2023-09-30 21:00:00,in_time,0.0,140.0,4.0,,7000.0,,,,OVC,1000.0,,,,,,,20.0,19.0,30.03,0
2023-09-01 10:00:00,in_time,0.0,70.0,8.0,,8000.0,,,,FEW,500.0,,,,,,,11.0,10.0,30.15,0
2023-09-01 20:00:00,delayed,29.0,150.0,6.0,,10000.0,,,,,,,,,,,,25.0,17.0,30.06,0
